dissimilarity,rdm_index,trialno_1,trialno_2,pattern_index_1,pattern_index_2
0.8440216034650803,0,C3,C52,1,22
0.9657217003405094,0,C3,D52,1,23
0.8344786018133163,0,C3,B53,1,24
0.8244782090187073,0,C3,C53,1,25
0.8477345257997513,0,C3,D53,1,26
0.7093663215637207,0,C3,B54,1,27
0.7619783878326416,0,C3,C54,1,28
0.7358258664608002,0,C3,D54,1,29
0.7643953561782837,0,C3,B55,1,30
0.6558616757392883,0,C3,C55,1,31
0.7698589414358139,0,C3,D55,1,32
0.7846674621105194,0,C3,B56,1,33
0.7365784347057343,0,C3,C56,1,34
0.6444089114665985,0,C3,D56,1,35
0.788973018527031,0,C3,B57,1,36
0.8658512681722641,0,C3,C57,1,37
0.899496927857399,0,C3,D57,1,38
0.911011166870594,0,C3,B63,1,39
0.842371255159378,0,C3,C63,1,40
0.7883407324552536,0,C3,D63,1,41
0.8397048264741898,0,C3,B65,1,42
0.8825328797101974,0,C3,C65,1,43
0.8889739513397217,0,C3,D65,1,44
0.894939474761486,0,C3,B67,1,45
0.8779555559158325,0,C3,C67,1,46
0.9832247644662857,0,C3,D67,1,47
0.8574764281511307,0,C3,B73,1,48
0.864591047167778,0,C3,C73,1,49
0.8540651798248291,0,C3,D73,1,50
0.8403948992490768,0,C3,B77,1,51
0.7801956385374069,0,C3,C77,1,52
0.9224291667342186,0,C3,D77,1,53
0.6967205703258514,0,C3,B78,1,54
0.6404421031475067,0,C3,C78,1,55
0.6212635636329651,0,C3,D78,1,56
0.898762620985508,0,C3,B80,1,57
0.9576589614152908,0,C3,C80,1,58
0.9816491566598415,0,C3,D80,1,59
0.8722179979085922,0,C3,B88,1,60
0.856025904417038,0,C3,C88,1,61
0.799579456448555,0,C3,D88,1,62
0.9149219542741776,0,C3,B91,1,63
0.8581477850675583,0,C3,C91,1,64
0.968910651281476,0,C3,D91,1,65
0.8024820238351822,0,C3,B92,1,66
0.8872391879558563,0,C3,C92,1,67
0.8952303603291512,0,C3,D92,1,68
0.9809833504259586,0,C3,B94,1,69
0.9603439792990685,0,C3,C94,1,70
0.9225288406014442,0,C3,D94,1,71
0.6891207098960876,0,C3,B96,1,72
0.6602749228477478,0,C3,C96,1,73
0.7582237422466278,0,C3,D96,1,74
0.72229865193367,0,D3,B8,2,3
0.7628051936626434,0,D3,C8,2,4
